,Unnamed: 0,unique_trajectory_id,condition,VPCode,landmark_rotation,respx,respz,targetx,targetz,trajectory_id,target,jitterx,jitterz,startx,startz,belief_respx,belief_respz,endidx,task_finished,target_loc
339,339,339,combined,sub10,-0.0,1.593308627518622,1.1059004243508714,1.8031417210826617,1.1709739252823081,0-4-8,1.8-1.17,0.0963269790400854,-0.0203978167743415,0.0709269998012223,-0.039144475656049615,1.4698612574242942,0.3557006485353807,136,True,1.707
340,340,340,combined,sub06,-0.0,1.9344178602012447,1.2244887697262417,1.803141721082662,1.1709739252823081,0-4-8,1.8-1.17,0.1769340532445461,-0.045460330790106,0.0568128744729828,0.03358305002820727,1.906366124493446,0.6866970246900025,144,True,1.626
341,341,341,combined,sub04,-0.0,1.7386141943358768,1.0422920785709036,1.803141721082662,1.1709739252823081,0-7-8,1.8-1.17,-0.1302162841199894,-0.0294609522646484,-0.0790383382361908,-0.06396499936622857,1.9498246679699784,0.2526880440533121,148,True,1.933
348,348,348,combined,sub11,-0.0,-2.545583885148591,0.5348522680972498,-2.1104984444124772,0.4102393400595713,3-5-8,-2.11-0.41,-0.0952539693618434,-0.0351516733568466,-0.0252917029127505,0.04936892324127051,-2.837603805565591,-0.5902200773328148,126,True,-2.015
354,354,354,combined,sub09,-0.0,1.340431521523236,1.6194794190121726,1.8031417210826617,1.1709739252823081,0-7-8,1.8-1.17,-0.0342360733060931,0.0800380893635895,-0.0977648014452474,0.056414061127411874,1.6703519769388435,0.4434736377072125,132,True,1.837
359,359,359,combined,sub03,-0.0,-1.8061503789763167,0.6502635900595969,-1.8031417210826617,1.1709739252823081,1-7-8,-1.8-1.17,-0.0695140659832811,-0.1810871595491752,-0.0221347327814206,-0.02493103540100683,-1.9697741495522556,-0.1980329253263051,135,True,-1.734
362,362,362,combined,sub08,-0.0,-2.318401894787571,0.04623217755497144,-2.1104984444124772,0.4102393400595713,3-4-8,-2.11-0.41,-0.0186692764728654,0.0194943318787074,-0.0086900790953663,0.05028513508955812,-2.4230858644005604,-0.3945263938537767,162,True,-2.092
365,365,365,combined,sub06,-0.0,-2.037720197110584,0.4543393495468259,-2.1104984444124772,0.4102393400595713,3-4-8,-2.11-0.41,0.0351789798946704,-0.0050894223138082,0.0521294104214152,-0.010458211953335295,-2.172910347191982,-0.2179450741631093,167,True,-2.146
372,372,372,combined,sub05,-0.0,1.819550201261336,-0.4602080903944752,2.1104984444124777,0.4102393400595713,2-7-8,2.11-0.41,0.0013540206217268,0.0121546536866662,-0.0663209899691591,0.047846732499208344,1.8996414957802468,-0.7412127111216376,147,True,2.109
376,376,376,combined,sub04,-0.0,2.25956679224365,0.5955468486632047,2.1104984444124772,0.4102393400595713,2-7-8,2.11-0.41,-0.1621499542135341,0.0641352206248608,-0.0672518708058707,0.06792962318104068,1.9709193516137011,-0.4694939937890999,151,True,2.273
379,379,379,combined,sub01,-0.0,-2.2082619421626983,0.7645314736266547,-2.1104984444124772,0.4102393400595714,3-6-8,-2.11-0.41,0.2155748046970058,0.0128557845243868,0.0996662391002104,0.03595281354304958,-2.4851414638650207,-0.5875134586309261,136,True,-2.326
380,380,380,combined,sub17,-0.0,2.54625873956912,-0.3354497484317125,2.1104984444124772,0.4102393400595713,2-4-8,2.11-0.41,-0.0073686219786371,-0.0374847299477315,0.1218808220935305,-0.012294749455508236,2.491106839777181,-0.7800033657828352,131,True,2.118
383,383,383,combined,sub08,-0.0,1.6632069756076735,1.3318294442417828,1.8031417210826615,1.1709739252823081,0-6-8,1.8-1.17,0.1256576553116008,-0.0681980801321362,0.0758678836009271,0.021538240208706427,1.8884472381543072,0.6048053218927205,142,True,1.677
387,387,387,combined,sub14,-0.0,2.235183076264979,0.5976546964921391,1.8031417210826615,1.1709739252823081,0-4-8,1.8-1.17,0.1010692598315785,0.0038997635609733,-0.0632330543926086,0.07152245834648452,2.303562901183372,0.0610448429745403,147,True,1.702
388,388,388,combined,sub08,-0.0,2.258270383525069,1.2885850566215127,1.803141721082662,1.1709739252823081,0-5-8,1.8-1.17,0.044772598873946,0.0675721115189096,-0.0588073126105417,-0.018769354165302676,2.094492780056497,0.7761548937043116,157,True,1.758
396,396,396,combined,sub02,-0.0,-1.6827200045041495,1.139942341309419,-1.803141721082662,1.1709739252823081,1-7-8,-1.8-1.17,-0.0279530057227382,0.034142925407225,-0.1045221542192489,-0.04320758324895391,-1.6960310622714296,0.3625954984600716,119,True,-1.775
397,397,397,combined,sub02,-0.0,-1.9335046083914849,0.17298639938672633,-2.1104984444124772,0.4102393400595713,3-6-8,-2.11-0.41,-0.0715904913376051,-0.1676580127800085,0.0084419073750776,-0.03493416539159011,-2.1582149572569405,-0.7486015942467706,162,True,-2.039
400,400,400,combined,sub06,-0.0,2.0451200880411844,1.2178288307329692,1.8031417210826612,1.1709739252823081,0-6-8,1.8-1.17,-0.0205868808199002,0.0776859798172596,0.0037015956124454,0.03195563778539545,2.142622324410477,0.2307339353346511,141,True,1.824
401,401,401,combined,sub16,-0.0,-1.868300955645432,-0.40954621261741764,-2.1104984444124772,0.4102393400595714,3-4-8,-2.11-0.41,0.0373949658904875,0.0861574123495994,0.0845191855474115,-0.004080622087405339,-1.9905798524257192,-0.6544631561256629,157,True,-2.148
410,410,410,combined,sub09,-0.0,-1.5938536301888853,0.8037811144176847,-1.8031417210826617,1.1709739252823081,1-5-8,-1.8-1.17,-5.5026427635306965e-05,-0.1752263111159598,-0.028081684188689,0.07119027348994145,-1.7348600558098026,0.2113629210298128,141,True,-1.803
412,412,412,combined,sub05,-0.0,1.8329214988021785,1.3551348067994433,1.8031417210826615,1.1709739252823081,0-6-8,1.8-1.17,-0.0246381461683266,-0.0641110910266144,0.0125468869246884,-0.03022734802335969,1.9809531643697276,0.3727082614661086,142,True,1.828
414,414,414,combined,sub08,-0.0,-2.2438911916266857,0.06258987809691785,-2.1104984444124772,0.4102393400595712,3-5-8,-2.11-0.41,0.0018510754360739,-0.0122790651502454,-0.0821611969681236,0.06608143066338523,-2.203613620963719,-0.7553906351924814,126,True,-2.112
420,420,420,combined,sub08,-0.0,1.903247161676077,0.08646639645983545,2.1104984444124777,0.4102393400595714,2-4-8,2.11-0.41,-0.1306071106336127,0.0923661152519212,0.0558105912532242,0.03577671485322975,1.8879739371947435,-0.2963711890519294,147,True,2.241
421,421,421,combined,sub04,-0.0,1.8549105648731536,1.0211154822289248,1.803141721082662,1.1709739252823081,0-6-8,1.8-1.17,0.0545701762223337,-0.0266719239683316,0.0464399371288798,0.034732015911345226,1.6438698112007388,0.4199665359788259,149,True,1.749
423,423,423,combined,sub12,-0.0,-2.259784050510617,0.2610216646358038,-2.1104984444124772,0.4102393400595714,3-4-8,-2.11-0.41,-0.0385446196912724,0.0007779471315048,0.0553669098120825,-0.02088362137511457,-2.075879875795855,-0.4652316177211409,162,True,-2.072
424,424,424,combined,sub12,-0.0,-2.2484476307816497,0.09282331499600072,-2.1104984444124772,0.4102393400595714,3-7-8,-2.11-0.41,-0.0790537200803992,0.0018567190588029,-0.0528979416363814,0.052984167057295695,-2.3743974588352192,-0.5849869018530042,126,True,-2.031
429,429,429,combined,sub09,-0.0,-1.5839970673105137,0.8235050013440194,-1.8031417210826617,1.1709739252823081,1-4-8,-1.8-1.17,0.1101055779563341,-0.0048340607269091,0.1183342393774169,-0.02117243536878588,-1.6502361458446904,0.0530132350188764,138,True,-1.913
430,430,430,combined,sub04,-0.0,-2.137393387163056,0.6930647939368408,-2.1104984444124772,0.4102393400595714,3-6-8,-2.11-0.41,-0.0755078947526896,0.0157635710784011,0.081766454008537,0.03147504031560178,-2.066449632723401,-0.586672414374539,141,True,-2.035
431,431,431,combined,sub18,-0.0,2.1242515644312765,0.19646559779872175,2.1104984444124772,0.4102393400595713,2-6-8,2.11-0.41,0.1596017728921785,-0.0492969183889588,0.0358358432432278,-0.043391703333423015,2.184149570297413,-0.5856168406372114,122,True,1.951
432,432,432,combined,sub02,-0.0,-2.0786266886650013,0.2583682041423219,-2.1104984444124772,0.4102393400595713,3-4-8,-2.11-0.41,-0.0758800375179808,-0.0710074059601003,0.1126307173696642,0.011377317348488014,-2.0522917555814724,-0.3868763407314646,151,True,-2.035
436,436,436,combined,sub11,-0.0,-2.03793239107915,0.02841816633122418,-2.1104984444124772,0.4102393400595713,3-7-8,-2.11-0.41,-0.0229279734398727,-0.0419973233560683,-0.061803809456704,0.03143929147310254,-1.9956743316129972,-0.1843533867067184,116,True,-2.088
437,437,437,combined,sub13,-0.0,1.4576964006683066,1.132767705839457,1.803141721082662,1.1709739252823081,0-4-8,1.8-1.17,0.0012912998271457,0.060017388641949,0.1081807169942629,0.05998026890185626,1.5843291734415277,0.5352866349179551,138,True,1.802
440,440,440,combined,sub16,-0.0,-1.4388617614119787,0.16091140963817963,-2.1104984444124772,0.4102393400595714,3-6-8,-2.11-0.41,0.0708991582888399,0.0360318857683923,0.0450295125330818,-0.047077502326289156,-1.7012923416093624,-0.3368865764767369,171,True,-2.181
